rep,psi,cond,model,corr,lr,conv
9,0.0,none,FAMF,-0.04954922451695622,0.6188143221453739,True
10,0.0,none,Baseline,-0.03649119603298725,0.3383307028099285,True
10,0.0,none,CLF,-0.03660145723054126,0.33763557113728915,True
10,0.0,none,FAMF,-0.03642467671751234,0.3377344726159279,True
11,0.0,none,Baseline,-0.04606864412011885,0.5500516195390226,True
11,0.0,none,CLF,-0.05427619987555946,0.5580124529064268,True
11,0.0,none,FAMF,-0.035263435002140346,0.3084152246465557,True
12,0.0,none,Baseline,0.03615535220411531,0.3370411670943714,True
12,0.0,none,CLF,0.03621310400236906,0.27378731206115603,True
12,0.0,none,FAMF,0.039350560780891636,0.3909360450303758,True
13,0.0,none,Baseline,-0.12458881813251448,3.9414476461051464,True
13,0.0,none,CLF,-0.31415138755421135,9.405031436764347,True
13,0.0,none,FAMF,-0.12450594896001382,3.94219861497519,True
14,0.0,none,Baseline,0.054055915063926145,0.7620960206944947,True
14,0.0,none,CLF,-0.1360351611155867,1.2628203082701432,True
14,0.0,none,FAMF,0.05384087660888723,0.7622286259450934,True
15,0.0,none,Baseline,-0.055114589830500785,0.7763975240474466,True
15,0.0,none,CLF,-0.1565427387755261,1.7440418125462305,True
15,0.0,none,FAMF,-0.05444237967702322,0.7452916795441666,True
16,0.0,none,Baseline,0.014017068824816854,0.04781397340705773,True
16,0.0,none,CLF,0.013821268278906692,0.04385761846579328,True
16,0.0,none,FAMF,0.013879468723048875,0.047704897209598585,True
17,0.0,none,Baseline,-0.12653536536289794,4.166754287124808,True
17,0.0,none,CLF,-0.2573725602261109,5.946305996648736,True
17,0.0,none,FAMF,-0.1237605361133623,3.892270802119377,True
18,0.0,none,Baseline,0.045646622855852595,0.5557225747862873,True
18,0.0,none,CLF,0.023980208833806072,0.061045426339999764,True
18,0.0,none,FAMF,0.04581319571837962,0.5559376015057467,True
19,0.0,none,Baseline,-0.024045325788144375,0.15251432309253588,True
19,0.0,none,CLF,-0.02405132351925396,0.1523967373830537,True
19,0.0,none,FAMF,-0.024089539330854257,0.15253034774378627,True
20,0.0,none,Baseline,0.0066006119301357125,0.011186625695033925,True
20,0.0,none,CLF,0.006463205786614137,0.011020143795276383,True
20,0.0,none,FAMF,0.023459832524187887,0.1345292223108352,True
21,0.0,none,Baseline,0.08012102440718878,1.6137248045377284,True
21,0.0,none,CLF,-0.05808718711647477,0.24679054833113057,True
21,0.0,none,FAMF,0.08006066922635692,1.6140543897283184,True
22,0.0,none,Baseline,-0.008238300199648505,0.017353294182754553,True
22,0.0,none,CLF,-0.16188619444180563,2.3298304009236492,True
22,0.0,none,FAMF,-0.008050536928790753,0.017305829910210235,True
